SRG,MCP,Version,Class
field_1000_j,editLine,Release 1.2.5,
field_1002_h,entitySign,Release 1.2.5,
field_1003_b,mc,Release 1.2.5,
field_1004_a,field_1004_a,Release 1.0.0,
field_1005_e,field_1005_e,Release 1.0.0,
field_1006_d,field_1006_d,Release 1.0.0,
field_1007_c,currentlyDisplayedText,Release 1.2.5,
field_1008_b,y,Release 1.2.5,
field_1009_a,x,Release 1.2.5,
field_1010_d,updateTime,Release 1.2.5,
field_1011_c,z,Release 1.2.5,
field_1012_M,entitiesWithinAABBExcludingEntity,Release 1.2.5,
field_1016_I,nbtCompoundPlayer,Beta 1.2_02,
field_1017_H,chunkProvider,Release 1.2.5,
field_1019_F,cloudColour,Release 1.2.5,
field_1024_A,unloadedEntityList,Release 1.2.5,
field_1026_y,isRemote,Release 1.2.5,
field_1029_v,sizeOnDisk,Beta 1.2_02,
field_1030_u,randomSeed,Beta 1.2_02,
field_1033_r,isNewWorld,Release 1.2.5,
field_1034_q,spawnZ,Beta 1.2_02,
field_1036_o,spawnX,Beta 1.2_02,
field_1037_n,rand,Release 1.2.5,
field_1039_l,difficultySetting,Release 1.2.5,
field_1040_k,playerEntities,Release 1.2.5,
field_1043_h,editingBlocks,Release 1.2.5,
field_1046_e,skylightSubtracted,Release 1.2.5,
field_1048_c,worldTime,Beta 1.2_02,
field_1049_b,loadedTileEntityList,Release 1.2.5,
field_1050_a,loadedEntityList,Release 1.2.5,
field_1051_z,lightingToUpdate,Beta 1.7.3,
field_1052_A,sendQueue,Release 1.2.5,
field_1053_F,entitySpawnQueue,Release 1.2.5,
field_1054_E,lockTimestamp,Release 1.2.5,
field_1055_D,entityHashSet,Release 1.2.5,
field_1056_C,scheduledTickSet,Release 1.2.5,
field_1057_z,blocksToReceive,Release 1.2.5,
field_1058_B,scheduledTickTreeSet,Release 1.2.5,
field_1059_b,chunkZ,Release 1.2.5,
field_1060_a,chunkX,Release 1.2.5,
field_1061_d,worldObj,Release 1.2.5,
field_1062_c,chunkArray,Release 1.2.5,
field_1063_a,netManager,Release 1.2.5,
field_1064_b,isInTestMode,Release 1.2.5,
field_1065_a,mc,Release 1.2.5,
field_1068_i,blockHitWait,Release 1.2.5,
field_1069_h,blockDestroySoundCounter,Release 1.2.5,
field_1070_g,prevBlockDamage,Release 1.2.5,
field_1071_f,curBlockDamage,Release 1.2.5,
field_1072_e,curBlockZ,Release 1.2.5,
field_1073_d,curBlockY,Release 1.2.5,
field_1074_c,curBlockX,Release 1.2.5,
field_1075_l,currentPlayerItem,Release 1.2.5,
field_1080_g,prevBlockDamageMP,Release 1.2.5,
field_1085_a,netManager,Release 1.2.5,
field_1086_a,netManager,Release 1.2.5,
field_1087_a,name,Release 1.2.5,
field_1088_a,data,Release 1.2.5,
field_1089_a,data,Release 1.2.5,
field_1090_b,tagType,Release 1.2.5,
field_1091_a,tagList,Release 1.2.5,
field_1092_a,data,Release 1.2.5,
field_1093_a,data,Release 1.2.5,
field_1094_a,tagMap,Release 1.2.5,
field_1095_a,data,Release 1.2.5,
field_1096_a,byteArray,Release 1.2.5,
field_1097_a,data,Release 1.2.5,
